,artist,song
1687,Loren Allred,Never Enough
1691,Maluma X Nego do Borel,Corazon
1694,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show
1699,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",Best Friend
1708,Justin Timberlake,Filthy
1742,Kendrick Lamar & SZA,All The Stars
1781,Liam Payne & Rita Ora,For You (Fifty Shades Freed)
1784,Lil Skies Featuring Landon Cube,Nowadays
1791,Clean Bandit Featuring Julia Michaels,I Miss You
1797,Lil Skies Featuring Landon Cube,Red Roses
1846,Carrie Underwood Featuring Ludacris,The Champion
1863,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE
1870,YoungBoy Never Broke Again,Outside Today
1879,Troye Sivan,My My My!
1883,Dan + Shay,Tequila
1890,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead
1891,Dua Lipa,IDGAF
1897,Enrique Iglesias Featuring Bad Bunny,El Bano
1900,Drake,God's Plan
1906,Drake,Diplomatic Immunity
1955,Bazzi,Mine
1964,The Chainsmokers,Sick Boy
1970,Justin Timberlake,Supplies
1981,NF,No Name
1998,Plies,Rock
2008,Justin Timberlake Featuring Chris Stapleton,Say Something
2017,Migos Featuring Drake,Walk It Talk It
2022,"Zedd, Maren Morris & Grey",The Middle
2027,Jason Aldean,You Make It Easy
2035,Migos,Narcos
2047,Migos Featuring 21 Savage,BBO (Bad Bitches Only)
2051,Migos Featuring Post Malone,Notice Me
2052,Migos,Supastars
2063,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",White Sand
2072,Migos,Gang Gang
2074,Rich The Kid Featuring Kendrick Lamar,New Freezer
2082,Migos,Higher We Go (Intro)
2084,Migos,Auto Pilot
2086,Migos,Emoji A Chain
2091,Ozuna & Romeo Santos,El Farsante
2093,Luke Bryan,Most People Are Good
2095,Migos Featuring Gucci Mane,CC
2106,The Weeknd & Kendrick Lamar,Pray For Me
2172,Justin Timberlake,Man Of The Woods
2180,Daddy Yankee,Dura
2186,Imagine Dragons,Whatever It Takes
2189,Derez De'Shon,Hardaway
2191,Jacquees X DeJ Loaf,At The Club
2192,Brett Eldredge,The Long Way
2193,Jordan Davis,Singles You Up
2197,Easton Corbin,A Girl Like You
2205,BlocBoy JB Featuring Drake,Look Alive
2248,"ScHoolboy Q, 2 Chainz & Saudi",X
2261,Rich The Kid,Plug Walk
2262,Khalid & Swae Lee,The Ways
2266,SOB X RBE,Paramedic!
2270,Kendrick Lamar & Travis Scott,Big Shot
2271,Marshmello & Anne-Marie,Friends
2290,Kendrick Lamar,Black Panther
2295,Lauv,I Like Me Better
2342,Khalid & Normani,Love Lies
2392,Daniel Caesar Featuring Kali Uchis,Get You
2401,Post Malone Featuring Ty Dolla $ign,Psycho
2421,Logic,44 More
2459,6ix9ine,Billy
2460,5 Seconds Of Summer,Want You Back
2472,6ix9ine Featuring Tory Lanez & Young Thug,RONDO
2480,Blac Youngsta,Booty
2495,High Valley,She's With Me
2497,Cole Swindell,Break Up In The End
2498,Janelle Monae,Make Me Feel
2516,XXXTENTACION,Sad!
2521,"DJ Khaled Featuring JAY Z, Future & B",Top Off
2542,Logic & Marshmello,Everyday
2545,Meghan Trainor,No Excuses
2546,XXXTENTACION,Changes
2575,Rae Sremmurd & Juicy J,Powerglide
2579,Nicky Jam x J Balvin,X
2590,Joyner Lucas & Chris Brown,Stranger Things
2595,Chris Brown,Tempo
2597,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa
2598,Blake Shelton,I Lived It
2599,SZA,Broken Clocks
2653,Bad Wolves,Zombie
2655,Logic Featuring Wiz Khalifa,Indica Badu
2659,Logic,Contra
2662,Lil Yachty Featuring NBA YoungBoy,NBAYoungboat
2667,Logic,Overnight
2672,Lil Yachty Featuring Trippie Redd,66
2673,Logic,Midnight
2682,Logic Featuring Big Sean,Wassup
2683,Taylor Swift,Delicate
2686,Logic,Yuck
2687,Lil Yachty Featuring Ugly God,Boom!
2696,Logic,BoomTrap Protocol
2697,Logic Featuring Young Sinatra,Warm It Up
2708,Lil Dicky Featuring Chris Brown,Freaky Friday
2734,XXXTENTACION,Moonlight
2748,Lin-Manuel Miranda & Ben Platt,Found / Tonight
2766,XXXTENTACION,The Remedy For A Broken Heart (Why Am I So In Love)
2771,Shawn Mendes,In My Blood
2781,XXXTENTACION,Numb
2782,XXXTENTACION Featuring Joey Bada$$,Infinity (888)
2783,Luke Combs,One Number Away
2785,Foster The People,Sit Next To Me
2794,XXXTENTACION,Going Down!
2799,The Chainsmokers,Everybody Hates Me
2859,Panic! At The Disco,Say Amen (Saturday Night)
2863,Shawn Mendes X Zedd,Lost In Japan
2869,Famous Dex,Japan
2885,Morgan Wallen Featuring Florida Georgia Line,Up Down
2894,Darius Rucker,For The First Time
2899,Alice Merton,No Roots
2903,The Weeknd,Call Out My Name
2915,Cardi B,Be Careful
2925,The Weeknd,Try Me
2926,The Weeknd,Wasted Times
2934,The Weeknd Featuring Gesaffelstein,I Was Never There
2942,The Weeknd Featuring Gesaffelstein,Hurt You
2944,Queen Naija,Medicine
2951,The Weeknd,Privilege
2977,Ella Mai,Boo'd Up
2988,"Tyler, The Creator",OKRA
2991,Chris Lane Featuring Tori Kelly,Take Back Home Girl
2993,Dierks Bentley,"Woman, Amen"
2995,2 Chainz Featuring YG & Offset,Proud
2999,H.E.R.,Focus
3000,Drake,Nice For What
3007,"Cardi B, Bad Bunny & J Balvin",I Like It
3020,Cardi B Featuring Migos,Drip
3022,Cardi B Featuring SZA,I Do
3027,Cardi B Featuring Kehlani,Ring
3037,Cardi B,Get Up 10
3038,Cardi B Featuring Chance The Rapper,Best Life
3042,Cardi B,Bickenhead
3049,Cardi B,Thru Your Phone
3056,Cardi B & YG,She Bad
3057,Cardi B,Money Bag
3058,YoungBoy Never Broke Again,Diamond Teeth Samurai
3061,Calvin Harris & Dua Lipa,One Kiss
3064,A$AP Rocky Featuring Moby,A$AP Forever
3082,Nicki Minaj,Barbie Tingz
3084,Kenny Chesney,Get Along
3091,Nicki Minaj,Chun-Li
3099,Halsey Featuring Big Sean & Stefflon Don,Alone
3123,Lil Pump,Esskeetit
3147,Carrie Underwood,Cry Pretty
3172,Zayn,Let Me
3183,Swae Lee Featuring Slim Jxmmi,Guatemala
3188,Young Thug Featuring Nicki Minaj,Anybody
3198,6ix9ine,Gotti
3202,Ariana Grande,No Tears Left To Cry
3205,J. Cole,ATM
3207,J. Cole,Kevin's Heart
3209,J. Cole,KOD
3213,J. Cole,Photograph
3214,J. Cole,Motiv8
3219,J. Cole,1985 (Intro To The Fall Off)
3227,J. Cole Featuring kiLL edward,The Cut Off
3229,J. Cole,Brackets
3233,Avicii,Wake Me Up!
3240,J. Cole,Window Pain (Outro)
3245,J. Cole Featuring kiLL edward,Friends
3246,J. Cole,Once An Addict (Interlude)
3252,J. Cole,Intro
3256,"Khalid, Ty Dolla $ign & 6LACK",OTW
3271,Sugarland Featuring Taylor Swift,Babe
3273,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote
3280,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,Dame Tu Cosita
3294,David Lee Murphy & Kenny Chesney,Everything's Gonna Be Alright
3297,Rae Sremmurd & Travis Scott,Close
3306,Post Malone,Better Now
3310,Post Malone,Paranoid
3313,Post Malone,Rich & Sad
3314,Post Malone Featuring Swae Lee,Spoil My Night
3315,Post Malone Featuring Nicki Minaj,Ball For Me
3316,Post Malone,Stay
3319,Post Malone Featuring G-Eazy & YG,Same Bitches
3322,Post Malone,Zack And Codeine
3323,Post Malone,Over Now
3328,Post Malone,Takin' Shots
3339,Post Malone,92 Explorer
3345,Post Malone,Otherside
3346,Post Malone,Blame It On Me
3356,Post Malone,Sugar Wraith
3361,Mason Ramsey,Famous
3372,Post Malone,Jonestown (Interlude)
3376,YoungBoy Never Broke Again,Overdose
3384,Kanye West Featuring T.I.,Ye vs The People
3400,Childish Gambino,This Is America
3415,Travis Scott Featuring Lil Uzi Vert & Kanye West,Watch
3457,Luke Combs,Beautiful Crazy
3464,Shawn Mendes Featuring Khalid,Youth
3473,Charlie Puth Featuring Kehlani,Done For Me
3479,Bhad Bhabie Featuring Lil Yachty,Gucci Flip Flops
3496,Brett Young,Mercy
3497,YoungBoy Never Broke Again,Preach
3545,Playboi Carti Featuring Lil Uzi Vert,Shoota
3548,Lil Baby & Drake,Yes Indeed
3549,Selena Gomez,Back To You
3573,Juice WRLD,Lucid Dreams
3576,Reik Featuring Ozuna & Wisin,Me Niego
3590,Lil Skies,Lust
3591,Juice WRLD,All Girls Are The Same
3609,BTS,Fake Love
3667,Kevin Gates,Change Lanes
3672,Kris Wu,Like That
3678,Lil Baby,Southside
3679,Lil Baby Featuring Gunna & Lil Uzi Vert,Life Goes On
3681,Kevin Gates,Let It Sing
3682,Pharrell Williams x Camila Cabello,Sangria Wine
3683,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",Welcome To The Party
3685,NAV Featuring Travis Scott,Champion
3697,Sam Hunt,Downtown's Dead
3698,Backstreet Boys,Don't Go Breaking My Heart
3718,Drake,I'm Upset
3744,A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine)
3745,6ix9ine Featuring DJ SPINKING,TATI
3764,Pusha T,Infrared
3765,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank
3772,Pusha T,If You Know You Know
3774,Pusha T Featuring Kanye West,What Would Meek Do?
3779,Jennifer Lopez Featuring DJ Khaled & Cardi B,Dinero
3781,Tyga Featuring Offset,Taste
3788,Billie Eilish & Khalid,Lovely
3792,Jake Owen,I Was Jack (You Were Diane)
3793,Maroon 5 Featuring Cardi B,Girls Like You
3797,Panic! At The Disco,High Hopes
3799,Pusha T,The Games We Play
3807,Kanye West,Yikes
3810,Kanye West,All Mine
3815,Kanye West Featuring PARTYNEXTDOOR,Ghost Town
3823,Kanye West Featuring PARTYNEXTDOOR,Wouldn't Leave
3826,Kanye West,Violent Crimes
3827,Kanye West,I Thought About Killing You
3835,Kanye West,No Mistakes
3854,Florida Georgia Line,Simple
3880,Luke Combs,Must've Never Met You
3884,Gorillaz Featuring George Benson,Humility
3888,Weezer,Africa
3895,5 Seconds Of Summer,Youngblood
3898,Becky G + Natti Natasha,Sin Pijama
3938,KIDS SEE GHOSTS,Reborn
3941,KIDS SEE GHOSTS Featuring Louis Prima,4th Dimension
3946,KIDS SEE GHOSTS,Feel The Love
3961,KIDS SEE GHOSTS,"Freeee (Ghost Town, Pt. 2)"
3966,KIDS SEE GHOSTS,Fire
3968,KIDS SEE GHOSTS,Cudi Montage
3972,KIDS SEE GHOSTS,KIDS SEE GHOSTS
3983,Kane Brown,Lose It
3987,Nicki Minaj Featuring Lil Wayne,Rich Sex
3989,Lil Skies Featuring Yung Pinch,I Know You
4012,The Carters,Apes**t
4042,Nicki Minaj Featuring Ariana Grande,Bed
4052,"2 Chainz, Drake & Quavo",Bigger > You
4054,BLACKPINK,DDU-DU DDU-DU
4073,Kygo & Imagine Dragons,Born To Be Yours
4076,The Carters,Boss
4077,Martin Garrix Featuring Khalid,Ocean
4079,XXXTENTACION,Hope
4083,The Carters,Summer
4084,Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey
4094,The Carters,Nice
4095,Nas Featuring Kanye West,Cop Shot The Kid
4098,The Carters,Friends
4157,Demi Lovato,Sober
4164,Juice WRLD,Legends
4187,Keith Urban Featuring Julia Michaels,Coming Home
4191,Thomas Rhett,Life Changes
4194,Ariana Grande Featuring Nicki Minaj,The Light Is Coming
4196,Clean Bandit Featuring Demi Lovato,Solo
4201,Drake,Nonstop
4205,Drake,In My Feelings
4207,Drake,Emotionless
4208,Drake Featuring Michael Jackson,Don't Matter To Me
4212,Drake,Mob Ties
4213,Drake,Elevate
4216,Drake,Survival
4217,Drake,Can't Take A Joke
4219,Drake Featuring JAY-Z,Talk Up
4220,Drake,8 Out Of 10
4226,Drake,Sandra's Rose
4227,Drake,Summer Games
4229,Drake,Blue Tint
4231,Drake,Jaded
4235,Drake,Is There More
4236,Drake,That's How You Feel
4237,Drake,Peak
4240,Drake Featuring Static Major & Ty Dolla $ign,After Dark
4241,Drake,Finesse
4250,Drake,Ratchet Happy Birthday
4255,Drake,Final Fantasy
4256,Drake,March 14
4262,Queen Naija,Karma
4275,Morgan Evans,Kiss Somebody
4285,Luke Bryan,"Sunrise, Sunburn, Sunset"
4292,Old Dominion,Hotel Key
4298,Alessia Cara,Growing Pains
4352,Future,Wifi Lit
4359,twenty one pilots,Jumpsuit
4364,Future,31 Days
4370,Future,Cuddle My Wrist
4372,Meek Mill Featuring Swizz Beatz,Millidelphia
4375,Future,Racks Blue
4378,Meek Mill Featuring Jeremih & PnB Rock,Dangerous
4382,Lil Pump,Drug Addicts
4387,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan
4395,Iggy Azalea Feauring Tyga,Kream
4410,Ariana Grande,God Is A Woman
4443,Childish Gambino,Summertime Magic
4452,Lauren Daigle,You Say
4455,"benny blanco, Halsey & Khalid",Eastside
4467,Juice WRLD Featuring Lil Uzi Vert,Wasted
4470,Eric Church,Desperate Man
4471,Wiz Khalifa Featuring Swae Lee,Hopeless Romantic
4472,Wiz Khalifa Featuring Lil Skies,Fr Fr
4478,twenty one pilots,Nico And The Niners
4483,lovelytheband,Broken
4484,Dylan Scott,Hooked
4486,TK Kravitz Featuring Jacqueez,Ocean
4489,G-Eazy Featuring Yo Gotti & YBN Nahmir,1942
4491,Bebe Rexha,I'm A Mess
4493,Kygo Featuring Miguel,Remind Me To Forget
4503,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE
4536,Imagine Dragons,Natural
4559,Chance The Rapper,I Might Need Security
4576,Ciara,Level Up
4580,Daniel Caesar Featuring H.E.R.,Best Part
4589,Dennis Lloyd,Nevermind
4592,Billie Eilish,You Should See Me In A Crown
4596,NF,Lie
4604,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer
4679,Logic Featuring Ryan Tedder,One Day
4686,The Chainsmokers Featuring Emily Warren,Side Effects
4691,Yella Beezy,That's On Me
4698,YG Featuring A$AP Rocky,Handgun
4699,Mitchell Tenpenny,Drunk Me
4703,Travis Scott,Sicko Mode
4707,Travis Scott,Stargazing
4723,Travis Scott,Carousel
4724,Travis Scott,Yosemite
4725,Travis Scott,R.I.P Screw
4726,Travis Scott,Stop Trying To Be God
4729,Travis Scott,Wake Up
4730,Travis Scott,No Bystanders
4735,Travis Scott,5% Tint
4737,Travis Scott,Can't Say
4740,Travis Scott,NC-17
4742,Travis Scott,Who? What!
4746,Travis Scott,Skeletons
4747,Travis Scott,Astrothunder
4752,Travis Scott,Houstonfornication
4759,Bazzi Featuring Camila Cabello,Beautiful
4767,Travis Scott,Coffee Bean
4775,H.E.R. Featuring Bryson Tiller,Could've Been
4778,Ella Mai,Trip
4786,Juice WRLD,Lean Wit Me
4817,Nicki Minaj,Barbie Dreams
4845,Trippie Redd,Taking A Walk
4857,Nicki Minaj Featuring Eminem & Labrinth,Majesty
4859,Nicki Minaj,Ganja Burns
4871,Quavo,W O R K I N  M E
4886,J. Cole,Album Of The Year (Freestyle)
4889,Jason Mraz,Have It All
4890,Bryce Vine,Drew Barrymore
4894,Luke Combs,She Got The Best Of Me
4897,Nicki Minaj Featuring The Weeknd,Thought I Knew You
4921,Ariana Grande,Breathin
4954,Ariana Grande,Sweetener
4961,Ariana Grande,Everytime
4962,Marshmello & Bastille,Happier
4964,Calvin Harris & Sam Smith,Promises
4971,Ariana Grande,R.E.M
4976,Russell Dickerson,Blue Tacoma
4977,Young Thug Featuring Gunna & Lil Baby,Chanel (Go Get It)
4986,Ariana Grande,Goodnight N Go
4987,Janet & Daddy Yankee,Made For Now
4998,Ariana Grande,Pete Davidson
5010,BTS Featuring Nicki Minaj,IDOL
5068,YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,I Am Who They Say I Am
5071,Ozuna,Unica
5081,Sheck Wes,Mo Bamba
5082,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life)
5085,Chris Janson,Drunk Girl
5086,Charlie Puth,The Way I Am
5089,Zedd & Elley Duhe,Happy Now
5105,Eminem Featuring Joyner Lucas,Lucky You
5107,Eminem,The Ringer
5111,Eminem,Fall
5115,Eminem,Kamikaze
5122,Eminem,Greatest
5123,Eminem Featuring Royce Da 5'9,Not Alike
5129,6ix9ine Featuring Anuel AA,BEBE
5138,Eminem,Normal
5141,Eminem,Stepping Stone
5148,Eminem,Venom
5153,Childish Gambino,Feels Like Summer
5164,Eminem & Jessie Reyez,Nice Guy
5166,Eminem Featuring Jessie Reyez,Good Guy
5193,"Labrinth, Sia & Diplo Present... LSD",Thunderclouds
5196,Chris Young,Hangin' On
5205,Kanye West & Lil Pump,I Love It
5212,Machine Gun Kelly,Rap Devil
5232,Mac Miller,Self Care
5269,Mac Miller,Hurt Feelings
5290,Mac Miller,Come Back To Earth
5293,Ozuna x Manuel Turizo,Vaina Loca
5294,Dan + Shay,Speechless
5295,Silk City x Dua Lipa,Electricity
5302,Eminem,Killshot
5327,Lil Baby & Gunna,Drip Too Hard
5329,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky
5337,Lil Uzi Vert,New Patek
5344,Khalid,Better
5346,Lil Peep & XXXTENTACION,Falling Down
5375,6LACK Featuring J. Cole,Pretty Little Fears
5395,Flipp Dinero,Leave Me Alone
5396,Jimmie Allen,Best Shot
5399,Lil Mosey,Noticed
5446,French Montana Featuring Drake,No Stylist
5463,Avril Lavigne,Head Above Water
5473,The Chainsmokers Featuring Kelsea Ballerini,This Feeling
5491,Pardison Fontaine Featuring Cardi B,Backin' It Up
5495,Maren Morris,Rich
5501,Lil Wayne Featuring Kendrick Lamar,Mona Lisa
5504,Lil Wayne Featuring XXXTENTACION,Don't Cry
5506,Lil Wayne,Uproar
5509,Lil Wayne Featuring Travis Scott,Let It Fly
5513,Lil Wayne,Dedicate
5516,Lil Wayne,Can't Be Broken
5523,Lil Wayne Featuring Sosamann,What About Me
5525,Lil Wayne Featuring Nicki Minaj,Dark Side Of The Moon
5526,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki
5527,Lady Gaga & Bradley Cooper,Shallow
5535,Lil Wayne Featuring Reginae Carter,Famous
5538,Lil Wayne Featuring Snoop Dogg,Dope N****z
5546,Lil Wayne,Open Letter
5555,Kodak Black,"If I'm Lyin, I'm Flyin"
5556,Lil Wayne,Problems
5558,Lil Wayne,Hittas
5561,Lil Wayne,Open Safe
5564,Lil Wayne,Took His Time
5573,Lil Wayne,Mess
5574,Lil Wayne,Let It All Work Out
5575,Lil Wayne Featuring Ashanti & Mack Maine,Start This S**t Off Right
5577,Lil Wayne,Used 2
5580,Lil Wayne,Demon
5585,Lil Wayne,Perfect Strangers
5589,Lil Wayne Featuring Nivea,Dope New Gospel
5614,Lil Baby & Gunna Featuring Drake,Never Recover
5617,Halsey,Without Me
5624,6ix9ine Featuring Bobby Shmurda,STOOPID
5627,Lil Baby,Close Friends
5635,Lady Gaga,I'll Never Love Again
5640,Lady Gaga,Always Remember Us This Way
5653,Lil Baby & Gunna Featuring Lil Durk & NAV,Off White VLONE
5660,Lil Baby & Gunna,Business Is Business
5662,Lady Gaga,Is That Alright?
5679,Lil Baby & Gunna,Belly
5680,twenty one pilots,My Blood
5692,Bradley Cooper,Maybe It's Time
5696,Lil Baby,Deep End
5697,Lil Baby & Gunna,I Am
5701,Kodak Black Featuring Travis Scott & Offset,ZEZE
5704,Bad Bunny Featuring Drake,MIA
5747,Quavo Featuring Drake,Flip The Switch
5760,Quavo Featuring 21 Savage,Pass Out
5785,Quavo,Biggest Alley Oop
5787,Quavo Featuring Travis Scott,Rerun
5792,Quavo,Huncho Dreams
5799,Quavo Featuring Lil Baby,Lose It
5808,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)
5825,Future & Juice WRLD,Fine China
5853,Cardi B,Money
5864,Billie Eilish,When The Party's Over
5871,Future & Juice WRLD Featuring Young Scooter,Jet Lag
5881,Future & Juice WRLD,Astronauts
5882,Khalid & Kane Brown,Saturday Nights
5887,Khalid Featuring Empress Of,Suncity
5888,Khalid,Vertigo
5890,Lil Yachty Featuring Juice WRLD,Yacht Club
5891,Juice WRLD,Make It Back
5892,Dua Lipa & BLACKPINK,Kiss And Make Up
5897,Lil Yachty Featuring Playboi Carti,Get Dripped
5899,Dierks Bentley Featuring Brothers Osborne,Burning Man
5927,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You
5930,Michael Jackson,Thriller
5953,TakeOff,Last Memory
5975,Tory Lanez & Rich The Kid,Talk To Me
5979,Trippie Redd,Topanga
5982,Tyga & Nicki Minaj,Dip
5988,Steve Aoki Featuring BTS,Waste It On Me
5989,P!nk,A Million Dreams
5993,Dean Lewis,Be Alright
5996,Lil Mosey,Kamikaze
6000,Ariana Grande,"Thank U, Next"
6032,Queen,Bohemian Rhapsody
6037,Metro Boomin Featuring 21 Savage,Don't Come Out The House
6041,Metro Boomin Featuring 21 Savage,10 Freaky Girls
6050,Metro Boomin Featuring Gunna,Space Cadet
6061,Metro Boomin Featuring Travis Scott,Overdue
6071,Metro Boomin Featuring Swae Lee & Travis Scott,Dreamcatcher
6078,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",No More
6085,Anuel AA & Romeo Santos,Ella Quiere Beber
6096,Camila Cabello,Consequences
6098,TakeOff,Casper
6099,Metro Boomin Featuring Travis Scott & Young Thug,Up To Something
6115,XXXTENTACION,BAD!
6143,Juice WRLD,Armed And Dangerous
6154,Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle
6172,Trippie Redd,Love Scars 3
6178,Imagine Dragons,Bad Liar
6188,Trippie Redd Featuring Kodie Shane,Negative Energy
6190,Thomas Rhett,Sixteen
6192,Dustin Lynch,Good Girl
6194,Kip Moore,Last Shot
6195,Chris Stapleton,Millionaire
6197,Trippie Redd,Toxic Waste
6280,Kodak Black,Take One
6291,City Girls Featuring Cardi B,Twerk
6296,Billie Eilish,Ocean Eyes
6297,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me
6298,Jason Aldean,Girl Like You
6299,AJR,Burn The House Down
6332,Bobby Helms,Jingle Bell Rock
6357,6ix9ine Featuring Nicki Minaj & Kanye West,MAMA
6358,6ix9ine Featuring Tory Lanez,KIKA
6361,6ix9ine Featuring Lil Baby,TIC TOC
6368,Billie Eilish,Come Out And Play
6370,6ix9ine Featuring A Boogie Wit da Hoodie,WAKA
6389,Jacquees,You
6405,Meek Mill Featuring Drake,Going Bad
6419,Meek Mill Featuring Rick Ross & JAY-Z,What's Free
6429,Meek Mill Featuring Cardi B,On Me
6435,Gene Autry,Rudolph The Red-Nosed Reindeer
6438,Meek Mill Featuring Fabolous & Anuel AA,Uptown Vibes
6440,Dean Martin,"Let It Snow, Let It Snow, Let It Snow"
6445,Lil Baby,Pure Cocaine
6453,Meek Mill Featuring Ella Mai,24/7
6454,Meek Mill,Intro
6456,Meek Mill,Respect The Game
6459,Nicki Minaj Featuring Lil Wayne,Good Form
6460,Meek Mill,Trauma
6461,Lil Baby Featuring Meek Mill,Time
6462,Ski Mask The Slump God Featuring Juice WRLD,Nuketown
6463,Kodak Black,Calling My Spirit
6465,Lil Baby Featuring Gunna,Ready
6466,Mark Ronson Featuring Miley Cyrus,Nothing Breaks Like A Heart
6469,Meek Mill,Championships
6471,Meek Mill Featuring Kodak Black,Tic Tac Toe
6472,Meek Mill,Almost Slipped
6476,"Meek Mill Featuring Future, Roddy Ricch & Young Thug",Splash Warning
6477,Meek Mill Featuring 21 Savage,Pay You Back
6480,Ski Mask The Slump God,Foot Fungus
6481,Lil Baby,Crush A Lot
6484,Meek Mill,Oodles O' Noodles Babies
6490,Lil Baby,Global
6497,Lil Baby,Word On The Street
6536,XXXTENTACION,whoa (mind in awe)
6539,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane)
6540,The Ronettes,Sleigh Ride
6541,Jose Feliciano,Feliz Navidad
6547,XXXTENTACION,Guardian Angel
6550,XXXTENTACION,I Don't Let Go
6561,XXXTENTACION Featuring Kanye West & Travis Barker,One Minute
6563,XXXTENTACION,Train Food
6564,XXXTENTACION,What Are You So Afraid Of
6567,XXXTENTACION,Staring At The Sky
6583,XXXTENTACION,Difference (Interlude)
6594,A Boogie Wit da Hoodie,Look Back At It
6595,Scotty McCreery,This Is It
6623,Ariana Grande,Imagine
6640,Perry Como With Mitchell Ayers And His Orchestra,(There's No Place Like) Home For The Holidays (1959)
6641,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas
6644,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas (War Is Over)
6646,Paul McCartney,Wonderful Christmastime
6647,Bing Crosby,White Christmas
6649,Darlene Love,Christmas (Baby Please Come Home)
6657,Kodak Black Featuring Juice WRLD,MoshPit
6667,Katy Perry,Cozy Little Christmas
6673,Kodak Black,Testimony
6686,Ava Max,Sweet But Psycho
6687,Kodak Black Featuring Lil Pump,Gnarly
6689,Lauren Daigle,The Christmas Song
6690,Calboy,Envy Me
6736,21 Savage,A Lot
6739,Elvis Presley,Blue Christmas
6743,Kelly Clarkson,Underneath The Tree
6744,Chuck Berry,Run Rudolph Run
6746,Post Malone,Wow.
6748,Frank Sinatra,Jingle Bells
6756,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin
6757,21 Savage,Can't Leave Without It
6764,A Boogie Wit da Hoodie Featuring Offset & Tyga,Startender
6766,21 Savage,All My Friends
6769,21 Savage,Break Da Law
6772,21 Savage,Monster
6785,21 Savage,1.5
6787,21 Savage,Out For The Night
6792,21 Savage,Gun Smoke
6793,A Boogie Wit da Hoodie Featuring Juice WRLD,Demons And Angels
6794,21 Savage,ASMR
6831,Pinkfong,Baby Shark
6874,Jordan Davis,Take It From Me
6875,Luke Bryan,What Makes You Country
6879,Jake Owen,Down To The Honkytonk
6881,Lukas Graham,Love Someone
6882,Carrie Underwood,Love Wins
6885,Zara Larsson,Ruin My Life
6886,Loud Luxury Featuring Brando,Body
6890,Brett Young,Here Tonight
6891,Midland,Burn Out
6892,Bad Bunny,Solo de Mi
6894,benny blanco & Juice WRLD Featuring Brendon Urie,Roses
6897,Old Dominion,Make It Sweet
6899,Billie Eilish,idontwannabeyouanymore
6934,Chris Brown,Undecided
6945,Future,Crushed Up
6980,Lil Pump,Butterfly Doors
6986,YoungBoy Never Broke Again,Valuable Pain
7026,Gesaffelstein & The Weeknd,Lost In The Fire
7032,Sam Smith & Normani,Dancing With A Stranger
7068,Kehlani Featuring Ty Dolla $ign,Nights Like This
7074,Blueface,Thotiana
7078,Alec Benjamin + Alessia Cara,Let Me Down Slowly
7079,Future,Jumpin On A Jet
7098,Rich The Kid,Splashin
7100,Ariana Grande,7 Rings
7125,J. Cole,Middle Child
7137,Logic,Keanu Reeves
7146,Future Featuring Travis Scott,First Off
7164,Future,Never Stop
7167,Anuel AA & Karol G,Secreto
7170,YNW Melly Featuring Kanye West,Mixed Personalities
7175,Future,Temptation
7178,Future,Rocket Ship
7180,Mustard & Migos,Pure Water
7182,Future,F&N
7190,Cody Johnson,On My Way To You
7194,YNW Melly,Murder On My Mind
7195,Maren Morris,GIRL
7197,Hikaru Utada & Skrillex,Face My Fears
7199,Future,Call The Coroner
7264,Yo Gotti Featuring Lil Baby,Put A Date On It
7273,Billie Eilish,Bury A Friend
7285,Lauv & Troye Sivan,I'm So Tired...
7287,Ella Mai,Shot Clock
7288,XXXTENTACION,Sauce!
